Название компанииwТекущая ценаwМаксимальная цена за сегодняwМинимальная цена за сегодняwИзменение в процентахwОбъем торговwВремя
Системаw31.82w32.8w31.73w-1,88%w25,03Mw14:59:37
Аэрофлотw70.08w71.44w69.7w-1,38%w14,40Mw14:59:38
ФСК ЕЭС ОАОw22.43w22.5w22.22w+0,84%w399,44Mw14:59:33
Норникельw0.258w0.26w0.257w-0,94%w167,96Kw14:59:39
Газпромw272.78w273.9w270.12w+0,02%w32,24Mw14:59:41
Группа ЛСРw758.6w768.4w753.6w-0,39%w88,52Kw14:59:44
ЛУКОЙЛw0.066w0.066w0.065w+0,85%w380,23Kw14:59:33
ММК ОАОw64.77w65.32w64.17w-3,34%w35,60Mw14:59:36
МТСw343.75w345.9w342.3w-0,28%w1,41Mw14:59:43
М.видеоw653.5w672.4w639.7w-2,81%w324,66Kw14:59:44
Магнитw0.055w0.055w0.055w+0,65%w277,14Kw14:59:34
НЛМКw263.6w266.42w263.12w-1,15%w4,32Mw14:59:34
НОВАТЭКw0.016w0.016w0.016w+0,08%w716,18Kw14:59:29
Полюсw0.148w0.149w0.147w-0,40%w33,92Kw14:59:37
Роснефтьw542.1w543.25w536.45w+1,13%w2,72Mw14:59:44
Сбербанкw313.75w314.54w311.03w+0,40%w19,84Mw14:59:35
Сбербанк (прив.)w292.37w293.1w289.52w+0,36%w2,72Mw14:59:33
Северстальw0.017w0.017w0.017w-0,63%w833,17Kw14:59:31
Сургутнефтегазw378.0w390.0w375.7w-1,49%w55,37Mw14:59:32
Сургутнефтегаз (прив.)w466.65w468.7w466.05w-0,10%w11,95Mw14:59:40
Татнефтьw543.2w543.6w537.6w+1,14%w2,80Mw14:59:44
Транснефть (прив.)w1.702w1.709w1.688w+1,04%w2,18Kw14:52:22
ВТБw489.25w496.2w485.6w-0,49%w26,55Bw14:59:41
Татнефть (прив.)w519.1w519.2w513.5w+1,19%w529,00Kw14:59:31
Интер РАО ЕЭС ОАОw496.5w505.0w494.05w-0,77%w173,70Mw14:59:42
РусГидроw85.37w85.64w85.06w+0,39%w243,19Mw14:59:44
Группа Компаний ПИКw0.011w0.011w0.011w-1,53%w82,58Kw14:59:26
ФосАгроw0.05w0.05w0.049w+0,63%w99,63Kw14:59:33
Ростелекомw102.74w103.48w102.49w-0,01%w711,13Kw14:59:20
TMKw73.62w75.1w72.0w-0,32%w172,89Kw14:59:14
РуссНефтьw173.2w173.4w171.6w+0,70%w54,32Kw14:59:23
АК АЛРОСАw138.09w139.88w137.01w+0,29%w10,93Mw14:59:40
Московская биржаw176.16w177.23w175.5w+0,06%w4,26Mw14:59:39
Polymetalw0.017w0.017w0.017w-0,54%w551,45Kw14:59:15
Яндексw0.05w0.05w0.049w+0,81%w168,22Kw14:59:33
РУСАЛw560.75w571.1w558.0w-0,76%w7,02Mw14:59:41
МКБw64.91w65.5w64.49w-0,43%w63,35Mw14:59:36
САФМАР Финансовые инвестицииw457.4w461.6w454.0w-0,39%w1,77Kw14:44:49
Lenta Ltdw243.8w246.0w238.2w-0,61%w197,50Kw14:59:35
Детский мирw148.6w149.76w148.22w-0,40%w665,24Kw14:59:40
X5 Retail Groupw0.023w0.023w0.023w+1,22%w370,93Kw14:59:27
